Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
32.0,0,0,12.0,32.0,23.0,30.0,781.0,11.0,34.0,46.17,198.0,0.1,206.0,65.0,0.0,366.0,0.24,7.7,1410.0,275.0,5.195435,0.0,61.03376,5.455753333,0.6006525229999999,5.097817458,16.56211006,1.55683834,0.303638683,0.310440159,29.88725056
61.0,0,0,61.0,52.0,53.0,30.0,565.0,12.0,54.0,38.88,103.0,0.1,113.0,65.0,0.0,274.5,0.39,7.7,1040.0,295.0,2.609779,0.0,43.17467,5.455753333,0.953977536,4.292898912,26.91342885,1.148306293,0.325721497,0.224582189,39.31466861
12.0,0,0,11.0,11.0,12.0,30.0,599.0,2.0,80.0,26.73,117.0,0.1,128.0,77.0,0.0,323.3,0.19,7.5,1130.0,310.0,2.892354,0.0,45.10221,3.896966667,1.4133000530000002,2.951368002,13.11167046,1.247678953,0.34228360700000005,0.238096869,23.20136462
9.0,0,0,12.0,9.0,9.0,30.0,772.0,6.0,66.0,61.965,150.0,0.1,238.0,53.0,0.0,352.58,0.05,7.6,1490.0,420.0,3.1850810000000003,0.0,43.73112,4.67636,1.1659725440000002,6.841807641,3.4504395960000003,1.645169593,0.46373908,0.306862743,18.5503512
1.0,0,0,1.0,1.0,1.0,30.0,228.0,2.0,38.0,17.01,25.0,0.1,46.0,8.0,1.037295,138.923,0.1,7.9,440.0,165.0,0.8470694999999999,0.0,24.79281,7.0145399999999976,0.671317525,1.878143274,6.9008791920000006,0.485821893,0.18218321,0.090627857,17.22351295
53.0,0,0,52.0,46.0,48.0,30.0,1318.0,3.0,76.0,70.47,334.0,0.1,520.125,97.0,0.0,402.6,0.37,7.5,2410.0,480.0,6.63408,0.0,60.22709,3.896966667,1.342635051,7.780879278,25.53325301,2.660979007,0.52998752,0.5238926110000001,42.26859314
22.0,0,0,21.0,7.0,19.0,30.0,762.0,5.0,94.0,31.59,150.0,0.1,248.0,54.0,0.0,323.3,0.1,7.5,1380.0,365.0,3.417361,0.0,47.21924,3.896966667,1.660627563,3.4879803660000004,6.9008791920000006,1.52371412,0.403011343,0.302887837,18.17606709
47.0,0,0,45.0,40.0,39.0,30.0,817.0,19.5,84.0,40.095,136.0,34.85,149.0,65.0,0.0,420.9,0.12,7.7,1440.0,375.0,3.0565990000000003,0.0,41.06816,5.455753333,1.483965056,4.427052003,8.28105503,1.58996256,0.41405275,0.32474982,21.97659055
15.0,0,0,14.0,13.0,14.0,30.0,763.0,19.5,84.0,59.535,108.0,0.1,209.0,58.0,0.0,311.1,0.1,7.6,1370.0,455.0,2.203419,0.0,34.06298,4.67636,1.483965056,6.573501459,6.9008791920000006,1.5126727130000002,0.502384003,0.303285328,21.95304775
96.0,0,11,104.0,96.0,96.0,30.0,606.0,11.0,42.0,65.61,90.0,0.1,170.0,37.0,0.0,305.0,0.54,8.0,1140.0,375.0,2.02227,0.0,34.303329999999995,7.793933332999999,0.741982528,7.244266914,37.26474764,1.25872036,0.41405275,0.240879304,54.95858282
69.0,0,11,68.0,62.0,60.0,30.0,1140.0,14.0,12.0,27.945,360.875,34.85,202.0,54.0,0.0,508.72665000000006,0.43,7.8,2030.0,145.0,8.971248625,0.0,78.31801999999998,6.235146667,0.211995008,3.085521093,29.67378052,2.2414055530000003,0.160100397,0.453139284,42.06108853
78.0,0,11,79.0,75.0,74.0,30.0,288.0,2.0,22.0,43.74,18.0,0.1,50.0,29.0,2.787903,187.1329,0.34,8.2,560.0,235.0,0.5108978,0.0,14.28051,9.35272,0.388657515,4.829511276,23.46298925,0.6183187729999999,0.259473057,0.114477293,39.02614717
98.0,0,11,99.0,107.0,83.0,30.0,438.0,4.0,28.0,20.655,115.0,0.1,78.0,20.0,2.420775,257.5292,0.43,8.0,810.0,155.0,4.0198269999999985,0.0,61.74228000000001,7.793933332999999,0.494655019,2.280602547,29.67378052,0.89435394,0.171141803,0.174100883,41.48256805
105.0,0,11,107.0,72.0,83.0,30.0,1190.0,7.0,44.0,77.76,290.0,18.0,461.0,76.0,0.0,384.3,0.17,8.0,2170.0,430.0,6.085093,0.0,58.21305,7.793933332999999,0.777315029,8.585797824,11.73149463,2.395985247,0.474780487,0.473013814,32.23232036
128.0,0,11,129.0,107.0,83.0,30.0,522.0,10.0,34.0,52.245,87.0,0.1,99.0,53.0,0.0,305.0,0.96,7.9,980.0,300.0,2.185607,0.0,38.68332,7.0145399999999976,0.6006525229999999,5.768582913,66.24844024,1.082057853,0.3312422,0.207490093,81.25300582
57.0,0,11,56.0,27.0,78.0,30.0,1439.5,19.5,120.0,91.125,246.0,34.85,520.125,99.0,0.0,329.4,0.17,8.0,2643.75,570.0,3.785151,0.0,37.71513,7.793933332999999,2.1199500800000006,10.2627114615,11.73149463,2.9314934705,0.6293601799999999,0.575168897875,37.75880937
